iter	Passed	Remaining
0	146	146729
1	149	74462
2	151	50267
3	153	38132
4	154	30830
5	156	25987
6	158	22488
7	160	19865
8	162	17890
9	164	16256
10	165	14913
11	167	13807
12	169	12862
13	171	12076
14	173	11409
15	175	10817
16	177	10241
17	178	9759
18	180	9305
19	181	8890
20	182	8516
21	184	8198
22	185	7889
23	187	7606
24	188	7360
25	190	7120
26	191	6883
27	191	6659
28	192	6455
29	193	6259
30	194	6083
31	195	5908
32	196	5744
33	196	5588
34	197	5441
35	197	5301
36	198	5172
37	199	5049
38	200	4931
39	200	4820
40	201	4716
41	202	4622
42	203	4531
43	204	4444
44	205	4365
45	206	4280
46	207	4199
47	207	4123
48	209	4056
49	209	3984
50	210	3917
51	211	3849
52	211	3785
53	212	3723
54	213	3663
55	213	3604
56	214	3547
57	215	3493
58	215	3441
59	216	3394
60	217	3352
61	218	3310
62	219	3266
63	220	3223
64	221	3181
65	221	3138
66	222	3097
67	223	3058
68	223	3020
69	224	2983
70	225	2946
71	225	2911
72	226	2877
73	227	2843
74	227	2809
75	228	2777
76	229	2746
77	229	2716
78	230	2689
79	231	2664
80	232	2640
81	233	2616
82	234	2585
83	234	2560
84	235	2534
85	236	2510
86	236	2487
87	237	2463
88	238	2440
89	238	2416
90	239	2393
91	240	2371
92	240	2349
93	241	2327
94	242	2306
95	242	2286
96	243	2265
97	244	2246
98	244	2226
99	245	2209
100	246	2194
101	247	2178
102	248	2164
103	249	2147
104	249	2130
105	250	2114
106	251	2097
107	251	2080
108	252	2064
109	253	2048
110	253	2033
111	254	2018
112	255	2002
113	255	1987
114	256	1972
115	257	1958
116	257	1943
117	258	1929
118	258	1915
119	259	1902
120	260	1891
121	260	1878
122	261	1866
123	262	1856
124	263	1844
125	264	1831
126	264	1819
127	265	1807
128	266	1796
129	266	1785
130	267	1773
131	268	1762
132	268	1751
133	269	1740
134	270	1730
135	270	1719
136	271	1710
137	272	1699
138	272	1690
139	273	1680
140	274	1670
141	274	1659
142	276	1658
143	277	1650
144	278	1642
145	279	1633
146	280	1625
147	280	1616
148	281	1607
149	282	1598
150	282	1589
151	283	1581
152	284	1572
153	284	1564
154	285	1555
155	286	1547
156	286	1539
157	287	1531
158	288	1524
159	288	1516
160	289	1509
161	290	1503
162	291	1496
163	292	1489
164	292	1482
165	293	1475
166	294	1467
167	294	1460
168	295	1453
169	296	1446
170	296	1439
171	297	1432
172	298	1425
173	298	1418
174	299	1412
175	300	1405
176	300	1399
177	301	1392
178	302	1386
179	302	1379
180	303	1373
181	304	1368
182	305	1362
183	306	1358
184	307	1352
185	307	1346
186	308	1341
187	309	1335
188	309	1329
189	310	1323
190	311	1318
191	311	1312
192	312	1306
193	313	1301
194	313	1295
195	314	1290
196	315	1284
197	315	1279
198	316	1274
199	317	1268
200	317	1262
201	318	1257
202	319	1252
203	319	1247
204	320	1243
205	321	1237
206	321	1232
207	322	1227
208	322	1221
209	323	1217
210	324	1212
211	324	1206
212	325	1201
213	325	1196
214	326	1191
215	326	1186
216	327	1181
217	328	1176
218	328	1171
219	329	1167
220	329	1162
221	330	1158
222	331	1153
223	331	1148
224	332	1144
225	332	1139
226	333	1134
227	334	1131
228	334	1127
229	335	1123
230	336	1118
231	336	1114
232	337	1110
233	337	1105
234	338	1101
235	338	1097
236	339	1092
237	340	1088
238	340	1084
239	341	1080
240	341	1076
241	342	1072
242	342	1068
243	343	1064
244	344	1060
245	344	1056
246	345	1052
247	345	1048
248	346	1044
249	346	1040
250	347	1036
251	347	1032
252	348	1029
253	349	1026
254	350	1022
255	350	1019
256	351	1015
257	351	1011
258	352	1008
259	352	1004
260	353	1001
261	354	997
262	354	993
263	355	990
264	355	986
265	356	983
266	356	979
267	357	976
268	357	972
269	358	969
270	359	966
271	359	962
272	360	959
273	360	955
274	361	952
275	361	949
276	362	946
277	363	943
278	364	940
279	364	938
280	365	935
281	366	932
282	366	929
283	367	926
284	368	923
285	368	920
286	369	917
287	369	914
288	370	911
289	371	908
290	371	905
291	372	902
292	372	899
293	373	897
294	374	894
295	374	891
296	375	888
297	376	885
298	376	883
299	377	880
300	377	877
301	378	875
302	379	873
303	380	870
304	380	868
305	381	865
306	382	862
307	382	860
308	383	857
309	384	854
310	384	852
311	385	849
312	385	847
313	386	844
314	387	841
315	387	839
316	388	836
317	388	834
318	389	831
319	389	828
320	390	826
321	391	823
322	391	820
323	392	818
324	393	816
325	394	814
326	394	812
327	395	810
328	396	807
329	396	805
330	397	803
331	397	800
332	398	798
333	399	796
334	400	794
335	400	791
336	401	789
337	402	787
338	402	785
339	403	783
340	404	781
341	404	778
342	405	776
343	406	774
344	406	772
345	407	770
346	408	769
347	409	767
348	410	765
349	411	763
350	411	761
351	412	759
352	413	757
353	413	755
354	414	753
355	415	750
356	415	748
357	416	746
358	417	745
359	417	742
360	418	740
361	419	738
362	419	736
363	420	734
364	421	732
365	421	730
366	422	728
367	423	727
368	424	725
369	425	723
370	425	721
371	426	719
372	427	717
373	427	715
374	428	713
375	428	711
376	429	709
377	430	707
378	430	706
379	431	704
380	432	702
381	432	700
382	433	698
383	434	696
384	434	694
385	435	692
386	436	691
387	436	689
388	437	687
389	438	686
390	439	684
391	440	682
392	440	680
393	441	678
394	442	677
395	442	675
396	443	673
397	444	671
398	444	669
399	445	668
400	446	666
401	446	664
402	447	662
403	448	661
404	448	659
405	449	657
406	450	655
407	450	654
408	451	652
409	452	651
410	453	650
411	454	648
412	455	647
413	456	645
414	456	643
415	457	642
416	458	640
417	458	638
418	459	637
419	460	635
420	460	633
421	461	631
422	461	630
423	462	628
424	463	626
425	464	625
426	464	623
427	465	621
428	466	620
429	467	619
430	468	618
431	469	616
432	469	615
433	470	613
434	471	611
435	471	610
436	472	608
437	473	607
438	474	605
439	474	604
440	475	602
441	475	600
442	476	599
443	477	597
444	477	596
445	478	594
446	479	592
447	479	591
448	480	589
449	481	588
450	482	587
451	483	586
452	484	584
453	485	583
454	485	581
455	486	580
456	487	578
457	487	577
458	488	576
459	489	574
460	490	573
461	491	572
462	492	570
463	492	569
464	493	567
465	494	566
466	494	564
467	495	563
468	496	562
469	497	561
470	498	559
471	499	558
472	499	556
473	500	555
474	501	553
475	501	552
476	502	551
477	503	549
478	504	548
479	504	546
480	505	545
481	506	543
482	506	542
483	507	541
484	508	539
485	508	538
486	509	536
487	510	535
488	510	533
489	512	533
490	513	531
491	513	530
492	514	529
493	515	527
494	515	526
495	516	524
496	517	523
497	517	522
498	518	520
499	519	519
500	519	517
501	520	516
502	521	515
503	521	513
504	522	512
505	523	510
506	523	509
507	524	508
508	525	506
509	526	505
510	527	504
511	528	503
512	528	502
513	529	500
514	530	499
515	531	498
516	531	496
517	532	495
518	533	494
519	533	492
520	534	491
521	535	490
522	535	488
523	536	487
524	537	486
525	537	484
526	538	483
527	538	481
528	539	480
529	540	478
530	541	477
531	541	476
532	542	475
533	543	474
534	543	472
535	544	471
536	545	469
537	545	468
538	546	467
539	546	465
540	547	464
541	547	463
542	548	461
543	549	460
544	549	458
545	550	457
546	550	456
547	551	454
548	552	453
549	552	452
550	553	450
551	553	449
552	554	448
553	555	446
554	555	445
555	556	444
556	557	443
557	558	442
558	558	440
559	559	439
560	559	438
561	560	436
562	560	435
563	561	434
564	562	432
565	562	431
566	563	430
567	563	428
568	564	427
569	565	426
570	565	424
571	566	423
572	566	422
573	567	421
574	567	419
575	568	418
576	569	417
577	569	415
578	570	414
579	571	413
580	572	412
581	572	411
582	573	410
583	573	408
584	574	407
585	575	406
586	575	405
587	576	403
588	576	402
589	577	401
